dataset,scenario,model,config,status,n_rows,n_aug_cols,n_cells,n_null,null_rate
healthcare_visit_notes,causal_triage,haiku,skill_on_e2e,OK,250,5,1250,0,0.0
healthcare_visit_notes,causal_triage,sonnet,skill_on_e2e,OK,250,8,2000,526,0.263
healthcare_visit_notes,causal_triage,haiku,skill_on,OK,250,5,1250,0,0.0
healthcare_visit_notes,causal_triage,sonnet,skill_on,OK,250,8,2000,181,0.0905
healthcare_visit_notes,concept_attribute_patient,haiku,skill_off_update,OK,250,2,500,0,0.0
healthcare_visit_notes,concept_attribute_patient,sonnet,skill_off_update,OK,250,12,3000,0,0.0
healthcare_visit_notes,concept_attribute_patient,haiku,skill_on_e2e,OK,250,4,1000,0,0.0
healthcare_visit_notes,concept_attribute_patient,sonnet,skill_on_e2e,OK,250,7,1750,179,0.1023
healthcare_visit_notes,concept_attribute_patient,haiku,skill_on,OK,250,2,500,0,0.0
healthcare_visit_notes,concept_attribute_patient,sonnet,skill_on,OK,250,8,2000,183,0.0915
healthcare_visit_notes,eda_duration,haiku,skill_off_update,OK,250,3,750,0,0.0
healthcare_visit_notes,eda_duration,sonnet,skill_off_update,OK,250,5,1250,0,0.0
healthcare_visit_notes,eda_duration,haiku,skill_on_e2e,OK,250,6,1500,0,0.0
healthcare_visit_notes,eda_duration,sonnet,skill_on_e2e,OK,250,8,2000,324,0.162
healthcare_visit_notes,eda_duration,haiku,skill_on,OK,250,7,1750,79,0.0451
healthcare_visit_notes,eda_duration,sonnet,skill_on,OK,250,10,2500,317,0.1268
healthcare_visit_notes,focus_inference,haiku,skill_off_update,OK,250,6,1500,0,0.0
healthcare_visit_notes,focus_inference,sonnet,skill_off_update,OK,250,2,500,0,0.0
healthcare_visit_notes,focus_inference,haiku,skill_on_e2e,OK,250,5,1250,0,0.0
healthcare_visit_notes,focus_inference,sonnet,skill_on_e2e,OK,250,7,1750,8,0.0046
healthcare_visit_notes,focus_inference,haiku,skill_on,OK,250,3,750,0,0.0
healthcare_visit_notes,focus_inference,sonnet,skill_on,OK,250,7,1750,1,0.0006
healthcare_visit_notes,predictive_high,haiku,skill_off_update,OK,250,4,1000,0,0.0
healthcare_visit_notes,predictive_high,sonnet,skill_off_update,OK,250,7,1750,0,0.0
healthcare_visit_notes,predictive_high,haiku,skill_on_e2e,OK,250,6,1500,10,0.0067
healthcare_visit_notes,predictive_high,sonnet,skill_on_e2e,OK,250,9,2250,0,0.0
healthcare_visit_notes,predictive_high,haiku,skill_on,OK,250,6,1500,0,0.0
healthcare_visit_notes,predictive_high,sonnet,skill_on,OK,250,8,2000,243,0.1215
healthcare_visit_notes,predictive_long,haiku,skill_off_update,OK,250,6,1500,0,0.0
healthcare_visit_notes,predictive_long,sonnet,skill_off_update,OK,250,6,1500,0,0.0
healthcare_visit_notes,predictive_long,haiku,skill_on_e2e,OK,250,7,1750,95,0.0543
healthcare_visit_notes,predictive_long,sonnet,skill_on_e2e,OK,250,10,2500,767,0.3068
healthcare_visit_notes,predictive_long,haiku,skill_on,OK,250,6,1500,0,0.0
healthcare_visit_notes,predictive_long,sonnet,skill_on,OK,250,10,2500,364,0.1456
healthcare_visit_notes,predictive_visit,haiku,skill_off_update,OK,250,2,500,0,0.0
healthcare_visit_notes,predictive_visit,sonnet,skill_off_update,OK,250,3,750,0,0.0
healthcare_visit_notes,predictive_visit,haiku,skill_on_e2e,OK,250,5,1250,0,0.0
healthcare_visit_notes,predictive_visit,sonnet,skill_on_e2e,OK,250,8,2000,59,0.0295
healthcare_visit_notes,predictive_visit,haiku,skill_on,OK,250,5,1250,0,0.0
healthcare_visit_notes,predictive_visit,sonnet,skill_on,OK,250,10,2500,5,0.002
imdb_movie_reviews,causal_audience,haiku,skill_off_update,OK,250,5,1250,0,0.0
imdb_movie_reviews,causal_audience,sonnet,skill_off_update,OK,250,5,1250,0,0.0
imdb_movie_reviews,causal_audience,haiku,skill_on_e2e,OK,250,4,1000,296,0.296
imdb_movie_reviews,causal_audience,sonnet,skill_on_e2e,OK,250,7,1750,431,0.2463
imdb_movie_reviews,causal_audience,haiku,skill_on,OK,250,4,1000,0,0.0
imdb_movie_reviews,causal_audience,sonnet,skill_on,OK,250,8,2000,1216,0.608
imdb_movie_reviews,concept_attribute_praise,haiku,skill_off_update,OK,250,6,1500,430,0.2867
imdb_movie_reviews,concept_attribute_praise,sonnet,skill_off_update,OK,250,5,1250,442,0.3536
imdb_movie_reviews,concept_attribute_praise,haiku,skill_on_e2e,OK,250,6,1500,0,0.0
imdb_movie_reviews,concept_attribute_praise,sonnet,skill_on_e2e,OK,250,10,2500,829,0.3316
imdb_movie_reviews,concept_attribute_praise,haiku,skill_on,OK,250,1,250,135,0.54
imdb_movie_reviews,concept_attribute_praise,sonnet,skill_on,OK,250,10,2500,525,0.21
imdb_movie_reviews,eda_sentiment,haiku,skill_off_update,OK,250,6,1500,0,0.0
imdb_movie_reviews,eda_sentiment,sonnet,skill_off_update,OK,250,14,3500,0,0.0
imdb_movie_reviews,eda_sentiment,haiku,skill_on_e2e,OK,250,7,1750,71,0.0406
imdb_movie_reviews,eda_sentiment,sonnet,skill_on_e2e,OK,250,10,2500,0,0.0
imdb_movie_reviews,eda_sentiment,haiku,skill_on,OK,250,9,2250,563,0.2502
imdb_movie_reviews,eda_sentiment,sonnet,skill_on,OK,250,10,2500,288,0.1152
imdb_movie_reviews,focus_inference,haiku,skill_off_update,OK,250,2,500,29,0.058
imdb_movie_reviews,focus_inference,sonnet,skill_off_update,OK,250,10,2500,0,0.0
imdb_movie_reviews,focus_inference,haiku,skill_on_e2e,OK,250,5,1250,0,0.0
imdb_movie_reviews,focus_inference,sonnet,skill_on_e2e,OK,250,10,2500,1019,0.4076
imdb_movie_reviews,focus_inference,haiku,skill_on,OK,250,6,1500,0,0.0
imdb_movie_reviews,focus_inference,sonnet,skill_on,OK,250,8,2000,491,0.2455
imdb_movie_reviews,predictive_negative,haiku,skill_off_update,OK,250,4,1000,0,0.0
imdb_movie_reviews,predictive_negative,sonnet,skill_off_update,OK,250,10,2500,0,0.0
imdb_movie_reviews,predictive_negative,haiku,skill_on_e2e,OK,250,6,1500,0,0.0
imdb_movie_reviews,predictive_negative,sonnet,skill_on_e2e,OK,250,11,2750,204,0.0742
imdb_movie_reviews,predictive_negative,haiku,skill_on,OK,250,9,2250,1326,0.5893
imdb_movie_reviews,predictive_negative,sonnet,skill_on,OK,250,6,1500,304,0.2027
imdb_movie_reviews,whatif_complaints,haiku,skill_off_update,OK,250,3,750,202,0.2693
imdb_movie_reviews,whatif_complaints,sonnet,skill_off_update,OK,250,6,1500,0,0.0
imdb_movie_reviews,whatif_complaints,haiku,skill_on_e2e,OK,250,3,750,97,0.1293
imdb_movie_reviews,whatif_complaints,sonnet,skill_on_e2e,OK,250,9,2250,1362,0.6053
imdb_movie_reviews,whatif_complaints,haiku,skill_on,OK,250,4,1000,0,0.0
imdb_movie_reviews,whatif_complaints,sonnet,skill_on,OK,250,5,1250,1,0.0008
yelp_polarity_reviews,causal_improve,haiku,skill_off_update,OK,250,3,750,0,0.0
yelp_polarity_reviews,causal_improve,sonnet,skill_off_update,OK,250,7,1750,333,0.1903
yelp_polarity_reviews,causal_improve,haiku,skill_on_e2e,OK,250,7,1750,795,0.4543
yelp_polarity_reviews,causal_improve,sonnet,skill_on_e2e,OK,250,9,2250,560,0.2489
yelp_polarity_reviews,causal_improve,haiku,skill_on,OK,250,8,2000,0,0.0
yelp_polarity_reviews,causal_improve,sonnet,skill_on,OK,250,9,2250,525,0.2333
yelp_polarity_reviews,causal_negative,haiku,skill_off_update,OK,250,8,2000,0,0.0
yelp_polarity_reviews,causal_negative,sonnet,skill_off_update,OK,250,9,2250,0,0.0
yelp_polarity_reviews,causal_negative,haiku,skill_on_e2e,OK,250,5,1250,0,0.0
yelp_polarity_reviews,causal_negative,sonnet,skill_on_e2e,OK,250,9,2250,851,0.3782
yelp_polarity_reviews,causal_negative,haiku,skill_on,OK,250,10,2500,0,0.0
yelp_polarity_reviews,causal_negative,sonnet,skill_on,OK,250,8,2000,1086,0.543
yelp_polarity_reviews,concept_attribute_experience,haiku,skill_off_update,OK,250,3,750,0,0.0
yelp_polarity_reviews,concept_attribute_experience,sonnet,skill_off_update,OK,250,4,1000,345,0.345
yelp_polarity_reviews,concept_attribute_experience,haiku,skill_on_e2e,OK,250,8,2000,421,0.2105
yelp_polarity_reviews,concept_attribute_experience,sonnet,skill_on_e2e,OK,250,8,2000,257,0.1285
yelp_polarity_reviews,concept_attribute_experience,haiku,skill_on,OK,250,5,1250,52,0.0416
yelp_polarity_reviews,concept_attribute_experience,sonnet,skill_on,OK,250,8,2000,743,0.3715
yelp_polarity_reviews,eda_sentiment,haiku,skill_off_update,OK,250,9,2250,0,0.0
yelp_polarity_reviews,eda_sentiment,sonnet,skill_off_update,OK,250,8,2000,25,0.0125
yelp_polarity_reviews,eda_sentiment,haiku,skill_on_e2e,OK,250,6,1500,431,0.2873
yelp_polarity_reviews,eda_sentiment,sonnet,skill_on_e2e,OK,250,10,2500,923,0.3692
yelp_polarity_reviews,eda_sentiment,haiku,skill_on,OK,250,5,1250,358,0.2864
yelp_polarity_reviews,eda_sentiment,sonnet,skill_on,OK,250,13,3250,612,0.1883
yelp_polarity_reviews,focus_inference,haiku,skill_off_update,OK,250,8,2000,0,0.0
yelp_polarity_reviews,focus_inference,sonnet,skill_off_update,OK,250,9,2250,0,0.0
yelp_polarity_reviews,focus_inference,haiku,skill_on_e2e,OK,250,7,1750,55,0.0314
yelp_polarity_reviews,focus_inference,sonnet,skill_on_e2e,OK,250,9,2250,771,0.3427
yelp_polarity_reviews,focus_inference,haiku,skill_on,OK,250,6,1500,847,0.5647
yelp_polarity_reviews,focus_inference,sonnet,skill_on,OK,250,11,2750,1052,0.3825
yelp_polarity_reviews,predictive_low,haiku,skill_off_update,OK,250,7,1750,0,0.0
yelp_polarity_reviews,predictive_low,sonnet,skill_off_update,OK,250,9,2250,0,0.0
yelp_polarity_reviews,predictive_low,haiku,skill_on_e2e,OK,250,3,750,0,0.0
yelp_polarity_reviews,predictive_low,sonnet,skill_on_e2e,OK,250,9,2250,986,0.4382
yelp_polarity_reviews,predictive_low,haiku,skill_on,OK,250,7,1750,0,0.0
yelp_polarity_reviews,predictive_low,sonnet,skill_on,OK,250,8,2000,141,0.0705
